,country_or_area,year,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,short_name
0,Australia,1990,278265.9,418623.05,418623.05,1424.68,118768.84,,15345.6,4607.01,211.02,,Australia
1,Australia,1991,279741.64,418674.06,418674.06,1424.68,117744.64,,14923.41,4610.74,228.94,,Australia
2,Australia,1992,284766.09,423080.11,423080.11,1333.18,116837.51,,15293.18,4603.28,246.86,,Australia
3,Australia,1993,289142.27,423764.93,423764.93,1829.87,113837.51,,15374.99,3315.53,264.76,,Australia
4,Australia,1994,293830.71,424092.96,424092.96,1027.34,110997.41,,15790.43,2164.43,282.64,,Australia
5,Australia,1995,305162.54,433478.65,433478.65,1004.03,109900.74,,15578.2,1530.84,302.31,,Australia
6,Australia,1996,311914.82,439803.96,439803.96,414.17,109185.34,,16609.59,1410.4,269.65,,Australia
7,Australia,1997,320439.12,451721.72,451721.72,705.23,111898.85,,17201.89,1228.15,248.48,,Australia
8,Australia,1998,334328.14,466382.11,466382.11,998.29,111427.93,,17743.91,1660.52,223.32,,Australia
9,Australia,1999,343713.91,472245.99,472245.99,1374.29,107889.22,,17933.44,1139.06,196.07,,Australia
10,Australia,2000,349885.43,483445.83,483445.83,1613.2,111520.31,,18949.17,1287.06,190.65,,Australia
11,Australia,2001,357653.33,491441.7,491441.7,2305.93,110301.73,,19182.29,1801.88,196.53,,Australia
12,Australia,2002,361861.39,494740.1,494740.1,2926.73,108309.14,,19712.73,1727.62,202.48,,Australia
13,Australia,2003,368345.98,495154.09,495154.09,3578.35,102574.21,,18765.28,1683.98,206.29,,Australia
14,Australia,2004,381519.26,511710.24,511710.24,4266.92,103839.21,,20163.24,1713.85,207.76,,Australia
15,Australia,2005,385581.13,518850.76,518850.76,5002.48,105887.56,,20405.82,1791.7,182.06,,Australia
16,Australia,2006,391134.1,522517.19,522517.19,5456.52,104842.39,,20224.61,687.06,172.51,,Australia
17,Australia,2007,398816.45,529842.87,529842.87,6143.73,105174.67,,18963.12,582.68,162.22,,Australia
18,Australia,2008,404237.83,533693.51,533693.51,6832.23,103119.55,,18908.28,444.52,151.11,,Australia
19,Australia,2009,408448.48,537889.89,537889.89,7468.94,101886.83,,19607.63,358.55,119.45,,Australia
20,Australia,2010,406200.99,533917.44,533917.44,8166.07,99447.73,,19698.3,283.32,121.03,,Australia
21,Australia,2011,403705.53,534089.8,534089.8,8837.85,101085.54,,20034.58,301.3,125.0,,Australia
22,Australia,2012,406462.85,537377.57,537377.57,9353.07,100796.84,,20342.38,294.88,127.55,,Australia
23,Australia,2013,396913.94,526882.67,526882.67,10034.13,99857.2,,19756.45,192.0,128.94,,Australia
24,Australia,2014,393126.95,522397.09,522397.09,10787.35,98076.11,,20084.54,192.54,129.61,,Australia
25,Austria,1990,62297.17,78844.63,78844.63,2.44,10598.57,,4293.06,1182.79,470.61,,Austria
26,Austria,1991,65903.51,82636.9,82636.9,3.89,10462.1,,4460.65,1192.62,614.14,,Austria
27,Austria,1992,60432.25,75931.0,75931.0,5.64,10164.75,,4161.62,510.47,656.27,,Austria
28,Austria,1993,60790.76,75988.23,75988.23,235.26,10073.83,,4080.85,63.52,744.0,,Austria
29,Austria,1994,61189.1,76503.49,76503.49,261.11,9775.86,0.76,4279.53,70.96,926.17,,Austria
30,Austria,1995,64202.16,79813.03,79813.03,357.93,9674.05,6.44,4389.0,83.35,1100.11,,Austria
31,Austria,1996,67667.26,83008.81,83008.81,420.79,9382.93,7.93,4272.75,80.25,1176.9,,Austria
32,Austria,1997,67455.89,82474.39,82474.39,500.83,9011.52,15.53,4286.76,117.47,1086.4,,Austria
33,Austria,1998,67047.25,81770.84,81770.84,610.34,8831.33,9.43,4347.07,55.53,869.88,,Austria
34,Austria,1999,65660.13,80106.72,80106.72,701.82,8645.18,8.24,4335.8,79.18,676.37,,Austria
35,Austria,2000,66274.74,80429.34,80429.34,713.63,8466.37,10.51,4301.7,87.87,574.53,,Austria
36,Austria,2001,70299.47,84380.81,84380.81,863.1,8284.3,10.51,4177.76,116.34,629.33,,Austria
37,Austria,2002,72126.59,86129.55,86129.55,968.78,8134.08,10.51,4174.31,101.97,613.3,,Austria
